Week,Team,Scratch Series,Handicap Series,W,XP,Pts
7,Lucky Strikes,0,0,0,0,0
7,Pin-Ups,0,0,0,0,0
7,Smoke-A-Bowl,0,0,0,0,0
7,Sparadigm Shift,0,0,0,0,0
7,Stinky Cheese,0,0,0,0,0
7,The Boom Kings,0,0,0,0,0
7,Thoughts and Spares,0,0,0,0,0
7,Valley of the Balls,0,0,0,0,0
7,Living on a Spare,0,0,0,0,0
7,Wild Llamas,0,0,0,0,0
8,Alley Oops,0,0,0,0,0
8,Bowl Durham,0,0,0,0,0
8,HOT FUN,0,0,0,0,0
8,E-Bowla,0,0,0,0,0
8,Fancy Pants,0,0,0,0,0
8,Grandma's Teeth,0,0,0,0,0
8,Guttermouths,0,0,0,0,0
8,Gutterglory,0,0,0,0,0
8,Guttersnipes,0,0,0,0,0
8,Hot Shotz,0,0,0,0,0
8,Lucky Strikes,0,0,0,0,0
8,Pin-Ups,0,0,0,0,0
8,Smoke-A-Bowl,0,0,0,0,0
8,Sparadigm Shift,0,0,0,0,0
8,Stinky Cheese,0,0,0,0,0
8,The Boom Kings,0,0,0,0,0
8,Thoughts and Spares,0,0,0,0,0
8,Valley of the Balls,0,0,0,0,0
8,Living on a Spare,0,0,0,0,0
8,Wild Llamas,0,0,0,0,0
9,Alley Oops,0,0,0,0,0
9,Bowl Durham,0,0,0,0,0
9,HOT FUN,0,0,0,0,0
9,E-Bowla,0,0,0,0,0
9,Fancy Pants,0,0,0,0,0
9,Grandma's Teeth,0,0,0,0,0
9,Guttermouths,0,0,0,0,0
9,Gutterglory,0,0,0,0,0
9,Guttersnipes,0,0,0,0,0
9,Hot Shotz,0,0,0,0,0
9,Lucky Strikes,0,0,0,0,0
9,Pin-Ups,0,0,0,0,0
9,Smoke-A-Bowl,0,0,0,0,0
9,Sparadigm Shift,0,0,0,0,0
9,Stinky Cheese,0,0,0,0,0
9,The Boom Kings,0,0,0,0,0
9,Thoughts and Spares,0,0,0,0,0
9,Valley of the Balls,0,0,0,0,0
9,Living on a Spare,0,0,0,0,0
9,Wild Llamas,0,0,0,0,0
