,,,,,,,,,Season
A,9,Hot Shotz,35,3,11,13,555.7 (8),886.5 (12),XXXII
A,10,Bowl'd Peanuts,0,0,0,0,320.0 (20),796.0 (20),XXXII
B,1,Stinky Cheese,62,9,19.5,23,633.5 (1),914.4 (1),XXXII
B,2,Grandma's Teeth,53,7,16,21,564.2 (7),910.0 (2),XXXII
B,3,Lucky Strikes,47,7,15,17,589.6 (6),894.0 (8),XXXII
B,4,Wild Llamas,44,4,14,16,603.6 (3),896.0 (6),XXXII
B,4,Valley of the Balls,44,3,15,14,554.4 (10),888.6 (11),XXXII
B,6,Gutterglory,42,2,14,14,549.0 (12),886.4 (13),XXXII
B,7,Sparadigm Shift,40,5,14.5,11,549.5 (11),883.3 (15),XXXII
B,8,Thoughts and Spares,36,4,10,16,616.6 (2),896.2 (4),XXXII
B,9,Fancy Pants,32,0,11,10,481.0 (18),876.9 (17),XXXII
B,10,Smoke-A-Bowl,23,7,6,11,456.3 (19),875.1 (18),XXXII
,,,,,,,,,
A,1,Bowl Durham,56,6,20,16,506.3 (17),891.1 (1),XXXI
A,2,Valley of the Balls,50,9,15,20,518.3 (14),891.0 (2),XXXI
A,3,E-Bowla,49,8,17,15,574.3 (6),882.9 (7),XXXI
A,4,Lucky Strikes,42,4,13,16,585.5 (3),885.5 (4),XXXI
A,5,Gutterglory,40,0,12.5,15,570.4 (7),885.4 (5),XXXI
A,5,Vandal-Lane Industries,40,2,13,14,518.2 (15),879.5 (13),XXXI
A,7,Pin-Ups,39,9,13,13,532.1 (11),882.0 (10),XXXI
A,8,Stinky Cheese,37,4,12,13,598.1 (1),882.5 (9),XXXI
A,9,The Boom Kings,35,1,9.5,16,578.0 (4),879.9 (12),XXXI
A,10,Smoke-A-Bowl,34,1,10,14,471.0 (18),877.0 (14),XXXI
B,1,Wolf Splitzers,50,2,16.5,17,574.6 (5),884.3 (6),XXXI
B,2,Hot Shotz,48,5,18,12,553.1 (9),881.1 (11),XXXI
B,2,Sparadigm Shift,48,9,16,16,556.1 (8),890.0 (3),XXXI
B,4,Gutter Mouths,47,7,14.5,18,519.5 (13),882.7 (8),XXXI
B,5,Wild Llamas,44,7,15.5,13,596.2 (2),870.2 (16),XXXI
B,6,Fancy Pants,35,2,12.5,10,462.6 (19),869.9 (17),XXXI
B,6,Alley Oops,35,3,12,11,532.2 (10),866.2 (18),XXXI
B,8,Guttersnipes,34,3,11.5,11,529.1 (12),871.9 (15),XXXI
B,9,Grandma's Teeth,33,4,11,11,511.7 (16),863.4 (19),XXXI
B,10,Bowl'd Peanuts,0,0,0,0,320.0 (20),796.0 (20),XXXI
,,,,,,,,,
A,1,Valley of the Balls,60,8,19,22,538.7 (9),900.4 (1),XXX
A,2,Wolf Splitzers,47,2,15,17,565.3 (4),866.3 (11),XXX
A,2,Bowl Durham,47,1,14.5,18,447.2 (18),882.5 (3),XXX
A,4,Grandma's Teeth,43,9,14,15,482.5 (16),870.6 (8),XXX
A,5,The Boom Kings,42,2,14,14,579.9 (3),876.3 (5),XXX
A,6,Wild Llamas,40,5,16,8,594.5 (2),850.7 (19),XXX
A,7,The Manute Bowlers,37,0,12,13,428.7 (19),851.7 (17),XXX
A,8,Sparadigm Shift,32,9,11,10,527.1 (10),861.9 (14),XXX
A,9,Vandal-Lane Industries,26,3,9.5,7,490.6 (15),850.9 (18),XXX
